Naira/GBP,Naira/USD,Naira/Yuan
233.73,155.25,25.23
231.91,155.25,25.24
230.61,155.25,25.26
230.13,155.25,25.23
230.76,155.26,25.23
234,155.26,25.25
233.55,155.26,25.23
232.77,155.26,25.22
233.42,155.26,25.21
235.53,155.26,25.21
235.42,155.26,25.22
236.18,155.26,25.22
237.31,155.26,25.2
237.32,155.26,25.21
237.63,155.26,25.2
236.66,155.26,25.21
238.39,155.26,25.22
237.91,155.26,25.23
237.09,155.26,25.24
235.19,155.26,25.23
235.64,155.26,25.24
234.65,155.26,25.25
237.43,155.26,25.24
237.56,155.26,25.25
239.24,155.26,25.26
239.51,155.26,25.28
239.34,155.26,25.29
239.8,155.25,25.27
241.24,155.25,25.28
242.01,155.25,25.28
242.45,155.25,25.32
242.43,155.25,25.3
242.88,155.25,25.27
241.21,155.25,25.27
240.74,155.25,25.27
240.9,155.26,25.28
240,155.26,25.28
239.2,155.26,25.28
240.05,155.26,25.28
239.83,155.26,25.28
241.1,155.26,25.28
240.64,155.26,25.29
241.55,155.26,25.29
242.17,155.26,25.28
241.16,155.26,25.33
242.74,155.26,25.29
242.9,155.26,25.28
244.16,155.26,25.28
244.46,155.26,25.28
245.42,155.26,25.29
246.61,155.26,25.29
246.32,155.26,25.29
247.15,155.26,25.28
248.92,155.26,25.28
247.99,155.26,25.28
248.56,155.26,25.28
247.04,155.26,25.28
248.34,155.26,25.28
248.2,155.26,25.28
247.79,155.26,25.28
249.81,155.26,25.27
250.73,155.26,25.28
250.62,155.25,25.27
248.28,155.25,25.27
248.68,155.25,25.27
249.21,155.25,25.27
247,155.25,25.27
247,155.25,25.28
246.98,155.25,25.28
247.25,155.23,25.3
247.48,155.23,25.29
249.12,155.27,25.34
250.62,155.27,25.34
250.01,155.27,25.39
250.01,155.31,25.42
249.99,155.31,25.42
250.45,155.31,25.49
250.76,155.4,25.49
250.79,155.4,25.49
250.82,155.57,25.48
249.21,155.57,25.46
248.67,155.57,25.4
248.35,155.55,25.4
247.06,155.55,25.36
248.26,155.3,25.37
248.96,155.3,25.39
248.65,155.21,25.4
248.74,155.21,25.4
247.46,155.2,25.4
245.62,155.2,25.39
247.01,155.2,25.39
247.88,155.21,25.39
248.68,155.21,25.39
249.05,155.2,25.39
248.68,155.2,25.39
249.83,155.2,25.39
249.64,155.2,25.39
250.66,155.2,25.39
250.66,155.23,25.39
250.65,155.23,25.39
250.34,155.23,25.39
252.46,155.22,25.39
252.8,155.22,25.39
252.77,155.22,25.39
253.49,155.22,25.39
254.27,155.22,25.4
253.17,155.23,25.4
252.91,155.23,25.44
253.17,155.23,25.48
253.45,155.23,25.48
254.41,155.23,25.48
253.39,155.23,25.48
253.79,155.23,25.48
251.82,155.23,25.48
252.61,155.23,25.48
251.68,155.23,25.48
253.09,155.22,25.48
253.29,155.22,25.48
252.72,155.2,25.48
253,155.2,25.48
253.17,155.2,25.49
255.86,155.2,25.52
254.74,155.2,25.55
255.83,155.2,25.57
255.58,155.2,25.56
254.64,155.2,25.34
254.1,155.2,25.57
253.99,155.2,25.34
253.82,155.22,25.34
254.08,155.22,25.33
254.65,155.22,25.6
254.47,155.22,25.59
254.19,155.22,25.39
253.82,155.22,25.38
253.08,155.24,25.56
254.18,155.24,25.57
253.84,155.24,25.57
256.47,155.24,25.57
256.87,155.24,25.58
257.04,155.25,25.58
256.45,155.25,25.57
256.47,155.25,25.55
256.08,155.25,25.53
255.14,155.25,25.53
254.81,155.25,25.53
252.86,155.25,25.53
252.63,155.25,25.53
251.93,155.25,25.53
252.32,155.25,25.52
252.86,155.25,25.54
253.73,155.25,25.53
254.64,155.25,25.52
255.66,155.25,25.52
257.4,155.25,25.51
258.59,155.25,25.52
258.9,155.25,25.5
258.29,155.25,25.47
257.67,155.25,25.44
257.71,155.25,25.4
258.12,155.25,25.37
257.47,155.25,25.27
258.31,155.25,25.26
258.36,155.25,25.25
257.44,155.25,25.18
258.29,155.25,25.18
258.68,155.25,25.19
258.37,155.25,25.25
258.43,155.25,25.29
259.14,155.25,25.26
259.47,155.25,25.21
257.52,155.25,25.2
257.36,155.25,25.18
256.76,155.25,25.22
258.6,155.25,25.16
256.96,155.24,25.04
257.09,155.24,24.99
257.24,155.24,24.97
257.52,155.24,24.85
255.54,155.24,24.86
255.38,155.24,24.97
255.17,155.24,24.95
255.49,155.24,24.92
256.02,155.24,24.9
257.39,155.24,24.91
257.27,155.24,24.88
257.67,155.24,24.93
257.21,155.24,24.93
257.77,155.24,24.91
256.95,155.24,24.91
256.36,155.24,24.91
256.76,155.24,24.97
258.66,155.24,24.95
259.14,155.24,24.91
259.53,155.24,24.91
258.9,155.24,24.88
258.57,155.24,24.87
258.66,155.24,24.87
259.85,155.23,24.88
260.12,155.23,24.8
260.35,155.23,24.8
259.84,155.23,24.76
259.88,155.23,24.74
260.12,155.23,24.74
260.64,155.23,24.72
260.22,155.23,24.72
260.38,155.23,24.72
261.01,155.23,24.77
260.89,155.23,24.85
262.75,155.23,24.82
262.64,155.23,24.84
262.13,155.23,24.84
261,155.23,24.8
261.32,155.23,24.84
260.58,155.23,24.84
259.64,155.23,24.83
259.28,155.23,24.82
260.07,155.23,24.8
260.55,155.23,24.8
260.4,155.23,24.82
261.4,155.23,24.81
261.06,155.23,24.81
260.58,155.23,24.8
260.63,155.23,24.75
260.26,155.23,24.74
259.2,155.23,24.76
259.05,155.23,24.76
259.1,155.23,24.73
259.31,155.23,24.75
259.37,155.23,24.72
259.19,155.23,24.75
260.43,155.23,24.79
259.96,155.23,24.86
259.61,155.23,24.84
259.7,155.23,24.88
260.3,155.23,24.92
262.53,155.23,24.84
262.59,155.23,24.85
262.75,155.23,24.83
262.14,155.23,24.84
263.52,155.23,24.86
263.66,155.23,24.85
263.27,155.23,24.83
262.92,155.23,24.82
262.69,155.23,24.86
263.51,155.23,24.88
263.32,155.23,24.94
263.71,155.23,24.95
265.36,155.23,24.91
265.61,155.23,24.91
265.11,155.23,24.94
265.36,155.23,24.94
264.9,155.23,24.95
264.93,155.23,24.95
264.65,155.23,24.94
264.74,155.23,24.94
265.04,155.23,24.93
264.8,155.23,24.92
265.66,155.23,24.94
264.94,155.23,24.94
264.63,155.23,24.92
264.43,155.23,24.92
264.25,155.23,24.94
264.02,155.23,24.96
263.52,155.23,24.98
263.26,155.23,24.99
262.84,155.23,24.75
259.37,155.23,25.06
261.15,155.23,25.04
260.44,155.23,25.04
260.49,155.23,25.07
260.94,155.23,25.1
260.43,155.23,25.11
260.55,155.23,25.13
260.1,155.23,25.14
259.85,155.23,25.12
259.54,155.23,25.14
258.54,155.23,25.15
258.11,155.23,25.17
258.28,155.23,25.19
258.82,155.23,25.19
257.39,155.23,25.2
257.61,155.23,25.15
256.77,155.23,25.15
256.45,155.23,25.15
256.71,155.23,25.15
256.47,155.23,25.19
256.76,155.23,25.19
256.68,155.23,25.18
256.59,155.23,25.19
257.16,155.23,25.16
255.85,155.23,25.19
